Name,Type,Years of Sponsorship,Funding Request,Finance Officer,Finance Committee,Final Allocation
Al-Bayan,PUB,14,1500,1200,1200,1200
Alternative Breaks Publishing Group,PUB,12,2500,900,900,900
BARE Magazine,PUB,8,7300,1500,4500,4500
Berkeley Fiction Review,PUB,31,0,1000,1000,1000
Berkeley Poetry Review,PUB,20,0,1000,1500,1500
Berkeley Political Review,PUB,13,5000,4500,4500,4500
Berkeley Science Review,PUB,14,2115,2115,2115,2115
Blue & Gold Yearbook,PUB,1,500,500,500,500
B-Side,PUB,1,300,300,300,300
byte of Berkeley,PUB,2,1500,900,900,900
Cal Literature and Arts Magazine,PUB,17,1400,1400,1400,1400
Caliber Magazine,PUB,5,9482,1500,7500,7500
California Patriot,PUB,1,4040,700,700,700
CalTV,PUB,10,4000,4000,4000,4000